번호,개방서비스명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174)
1,동물약국,062-267-5755,광주광역시 북구 오치동 862-22번지,광주광역시 북구 서하로 187 (오치동),61055,뷰티온누리약국,190911.687703331,187580.179882729
2,동물약국,261-5627,광주광역시 북구 문흥동 938-1번지,광주광역시 북구 면앙로32번길 1 (문흥동),61188,21세기건강약국,192260.597948493,186694.581033954
3,동물약국,070-4227-0070,광주광역시 북구 신용동 733번지,광주광역시 북구 첨단연신로 97-0 (신용동),61087,광주동물약국,187543.487758868,189718.506722483
4,동물약국,574-0022,광주광역시 북구 양산동 660-102번지,광주광역시 북구 양일로 73-1 (양산동),61083,조은온누리약국,188363.432263062,188765.633976834
5,동물약국,512-1127,광주광역시 북구 용봉동 1224-7번지,광주광역시 북구 용주로30번길 10 (용봉동),61181,하나약국,190942.240263151,186908.545005195
6,동물약국,261-6038,광주광역시 북구 두암동 968-1번지,"광주광역시 북구 삼정로 7, 106호 (두암동, 주공2단지상가)",61161,한샘약국,194075.244056665,184984.418600969
7,동물약국,951-8488,대구광역시 북구 태전동 1107번지,대구광역시 북구 학정로 38 (태전동),41471,매천동물약국,339558.572078719,269213.098732194
8,동물약국,325-7012,대구광역시 북구 동천동 931-5번지,대구광역시 북구 대천로 93 (동천동),41427,건강드림약국,340652.137935656,271885.713354279
9,동물약국,053-359-1999,대구광역시 북구 칠성동2가 127 성광우방타운 126동 110호,"대구광역시 북구 호암로 20, 126동 110호 (칠성동2가, 성광우방타운)",41586,박약국,343728.418999617,265773.31426764
10,동물약국,053-422-0307,대구광역시 북구 침산동 163-2,"대구광역시 북구 중앙대로 556, 1층 (침산동)",41579,해오름약국,344157.145771257,265830.297317545
11,동물약국,053-763-1624,대구광역시 북구 학정동 976,대구광역시 북구 학정동로 47 (학정동),41417,학정동물약국,341331.536830875,273108.034714518
12,동물약국,325-0066,대구광역시 북구 동천동 895-1번지,대구광역시 북구 동암로 96 (동천동),41423,세미동물약국,340809.90916835,272661.417303676
13,동물약국,312-8623,대구광역시 북구 읍내동 1346번지,대구광역시 북구 구암로15길 22 (읍내동),41438,구주약국,339781.927250126,271574.827358255
14,동물약국,322-9954,대구광역시 북구 읍내동 803-2번지,대구광역시 북구 동암로 6 (읍내동),41433,칠곡우리약국,339977.731164849,272948.058597586
15,동물약국,312-3525,대구광역시 북구 태전동 422-16번지,대구광역시 북구 칠곡중앙대로 302 (태전동),41462,태전동물약국,339574.5500786,270253.823468227
16,동물약국,255-0393,대구광역시 북구 침산동 145-34번지,대구광역시 북구 침산남로 176 (침산동),41584,홍제약국,343937.4232753,266383.904462249
17,동물약국,956-8481,대구광역시 북구 복현동 479-3,대구광역시 북구 동북로 288 (복현동),41564,메디팜 일선약국,346320.395016145,267013.947259382
18,동물약국,422-4705,대구광역시 북구 칠성동2가 350-4번지,대구광역시 북구 칠성로 59 (칠성동2가),41579,사랑플러스 동물약국,344085.06879766,265518.107822008
19,동물약국,321-8686,대구광역시 북구 관음동 1284-3번지,대구광역시 북구 관음중앙로28길 7 (관음동),41441,동물사랑약국,339531.688327538,272677.941736777
20,동물약국,311-8025,대구광역시 북구 동천동 934-5번지,대구광역시 북구 대천로 94 (동천동),41430,칠곡사랑약국,340643.863357124,271827.864077331
21,동물약국,321-0147,대구광역시 북구 태전동 973-3번지,대구광역시 북구 칠곡중앙대로 349 (태전동),41452,녹색동물약국,339562.409833444,270732.691081243
22,동물약국,325-2888,대구광역시 북구 읍내동 1343-2번지,대구광역시 북구 칠곡중앙대로 428 (읍내동),41438,한솔약국,339708.051562637,271505.164432346
23,동물약국,053-321-7275,대구광역시 북구 사수동 955,"대구광역시 북구 한강로6길 14-1, 103호 (사수동)",41492,금호사수동물약국,336707.760167851,267263.725814238
24,동물약국,053-953-3780,대구광역시 북구 서변동 1746-5번지,대구광역시 북구 호국로43길 26 (서변동),41477,서변제일약국,344019.319318172,270148.269530495
25,동물약국,053-954-7303,대구광역시 북구 산격동 1413-15번지,대구광역시 북구 산격로 24 (산격동),41544,대도약국,344900.863386734,266996.084959175
26,동물약국,053-232-7169,대구광역시 북구 읍내동 1381-20,"대구광역시 북구 구암로 97, 1층 (읍내동)",41438,친한약국,339923.863342512,271360.218254884
27,동물약국,053-322-9909,대구광역시 북구 동천동 952-4번지 대구보건대학교부설 대구보건대학교병원,"대구광역시 북구 팔거천동로 209, 1층 (동천동)",41422,보건정문약국,340481.226317685,272505.366926318
28,동물약국,053-357-7464,대구광역시 북구 노원동3가 775번지,"대구광역시 북구 팔달로 165, 1층 (노원동3가)",41557,독일약국,341537.297658079,266521.382135534
